depth,magnitude_a,time,latitude,longitude
60,5,19841218193214.7, 44150 , 149233 
12,5.3,19841218233740.9, 40223 , 139062 
60,5.2,19841219023244.6, 44141 , 149176 
50,5.1,19841219023624, 44070 , 149316 
60,5.3,19841219025242.2, 44174 , 149274 
44,5.5,19841219043526.6, 37086 , 141339 
50,5.3,19841219091653.8, 44172 , 149357 
50,5.4,19841219094858.3, 44212 , 149348 
2,5.2,19841224010347.4, 34057 , 141302 
41,5.8,1984122910072.5, 24322 , 122058 
69.5,5.8,19850106004538.5, 34110 , 135329 
68.6,5.5,19850106004636.3, 34096 , 135333 
321.5,5,1985010615462.9, 45383 , 143190 
57,5.3,1985010721018.9, 26511 , 131166 
18,5.2,19850108130750.5, 32087 , 132083 
60,5.6,19850110005611.4, 44141 , 149304 
0,5.5,19850114065128, 23220 , 123240 
13.1,5.7,19850115185645.9, 25363 , 125061 
33,5,19850117201727.9, 28553 , 142196 
193,5.1,19850127024116.4, 44258 , 146360 
117.9,5.8,19850127063611.6, 32362 , 131178 
0,5.5,19850202200647.6, 43445 , 147184 
50,5.2,19850206222948.4, 44107 , 149243 
70,5,19850207002714.6, 44111 , 149295 
70,5,19850209043219.2, 44124 , 149306 
0,5.2,19850210071323.3, 43438 , 147320 
60,5.2,19850210120016, 44050 , 149337 
30,5.2,19850217012812.1, 40026 , 142431 
17,5.5,1985021904413.6, 23124 , 123560 
424.1,5.3,1985022317247.3, 47043 , 146166 
7.7,5.2,19850226195352.8, 35505 , 137346 
40,5,19850228102310, 39365 , 144413 
67.6,5.9,19850301055347.2, 27212 , 128423 
65.6,5.5,19850301145449.8, 29028 , 130344 
33,5.1,19850301171451.1, 28253 , 130582 
44,5.1,19850302174526, 30370 , 132338 
31,5.3,19850307182550.8, 31030 , 138529 
95.3,5.1,19850311002747, 43239 , 145534 
46.5,5.2,19850311120121, 36268 , 141006 
60,5,1985031716095.8, 44123 , 148449 
0,5.1,19850317204330.3, 40307 , 144031 
157.2,6.2,19850327214813.8, 43588 , 146418 
5.9,5.3,19850328161323.6, 38526 , 140435 
164.2,6.4,1985032901078, 40179 , 140350 
458.3,6.4,19850404052136.2, 28158 , 139536 
117.7,5.2,19850405162536.4, 33316 , 131346 
30,5.5,19850409141535.8, 34118 , 140473 
69.9,5,19850410090815.5, 43396 , 146274 
415.1,6.6,19850411012619.8, 29580 , 139169 
33.8,5.1,19850417092738.2, 40083 , 142263 
35,5,19850420193534.4, 37249 , 142459 
514.2,5.6,19850421222822.6, 29415 , 138050 
15.5,5.2,1985042713546.4, 37170 , 142133 
58.7,5.9,19850429111959.2, 41278 , 142029 
19,5.1,19850430174528.9, 25092 , 125064 
44.8,5.5,19850511194037.6, 37063 , 141354 
66.6,5,19850512051838.8, 42141 , 143049 
38.8,6,1985051319410.3, 32599 , 132350 
458.9,5.4,19850515141150.6, 30080 , 138451 
7,5.3,19850531034721, 29127 , 142127 
21,5.1,19850531035429.7, 29112 , 141521 
354,5.2,19850603053650.2, 46469 , 147275 
108,5.1,1985060510049.9, 28337 , 141019 
50,5.2,19850606134442.9, 28426 , 140186 
60,5.1,19850607142133.2, 44260 , 149445 
33,5,19850607183611.7, 29047 , 140179 
118,5.1,19850608231539.3, 22187 , 143295 
16,6,19850613022251.6, 24093 , 122267 
365.8,5.3,19850614043635.4, 33105 , 137549 
47,5.5,19850618041238.5, 30158 , 132416 
33,5.1,19850629115530.2, 20336 , 122022 
13.9,5.1,19850702132053.9, 35227 , 133366 
0,5.4,19850702213452.1, 40374 , 144002 
497.5,5.8,19850703192021.3, 27174 , 140203 
33,5,19850704184634.1, 29168 , 143274 
391,5.2,19850705113819.9, 46274 , 144585 
55,5,19850706040635.5, 29092 , 130513 
22.1,5,1985071317108.6, 40588 , 139286 
50.6,5.2,19850725092428.9, 33426 , 134444 
90.1,5.4,19850729043321.5, 37187 , 140411 
60,5,19850730143545.9, 44406 , 149110 
43.2,5.2,19850806145852.9, 36230 , 141052 
52,6.4,19850812124916.6, 37423 , 141535 
20,5.7,19850821154916.3, 37531 , 149264 
0,5.1,19850826112641.9, 44341 , 148173 
17,5.2,19850827004331.3, 36045 , 142397 
28.5,5.4,1985082912456, 40103 , 142437 
33,5.2,19850830155547.4, 28073 , 140463 
68,5.2,19850831153046.4, 28116 , 140376 
10,5.3,1985090206584.9, 43487 , 147363 
33,5.1,1985090217370.5, 28142 , 140383 
33,5.3,19850902173830, 28154 , 140252 
33,5.1,19850903225950.2, 28129 , 140396 
33,5,19850904014624.9, 28042 , 140437 
331,5,19850906003333.9, 33429 , 138008 
512.5,5.7,19850906013057.2, 28035 , 139413 
14.6,5.2,19850906092226.8, 37368 , 142445 
329,5,19850907152249.1, 21413 , 143006 
71,5,19850908231227.3, 28191 , 140197 
47,5,19850910055824.7, 28154 , 140244 
511.4,6.2,1985091015392.1, 27106 , 140135 
33,5.1,19850910231917.4, 28085 , 140253 
38,5.1,19850915212055.7, 40174 , 139104 
33,5,19850917185638.1, 28059 , 140404 
33,5,19850918060928.5, 28109 , 140451 
0,5.4,19850921000124.7, 24137 , 122231 
16.1,5.1,1985092122115.8, 40377 , 139229 
8.3,5.3,19851003205732.7, 35109 , 135515 
64,5.5,1985100406281.3, 34484 , 140589 
33,5,19851004133026.6, 28103 , 140371 
486.1,6,19851004174137.6, 27338 , 140174 
78.4,6,19851004212551.6, 35523 , 140093 
119,5,19851005171318.7, 22486 , 143534 
132,5,19851005225934.2, 21544 , 143577 
115.2,5.1,19851007120522.4, 38216 , 140327 
65.4,5.4,19851012211846.5, 42148 , 143089 
44,5.2,19851013022154.2, 36404 , 141189 
33,5.2,19851013170759.6, 28024 , 140390 
19.1,5.7,19851018122221, 37398 , 136556 
297.3,5.7,1985101813197.9, 45442 , 146357 
0,5.4,19851022195131.3, 43423 , 147540 
0,5.1,19851025041024.9, 44363 , 148225 
39,5.2,19851026045559.5, 28023 , 140436 
33,5,19851029023222.1, 28586 , 131063 
28,5.2,19851029030736.3, 27400 , 140504 
33,5,1985110404120.2, 28088 , 140467 
62.9,5.1,19851106003050, 35215 , 140142 
60,5,19851108181435.3, 28058 , 140512 
54,6.2,19851109034021.5, 27242 , 140218 
