tag,year,month,day,hour,minute,second,time_se,latitude,latitude_m,latitude_se,longitude,longitude_m,longitude_se,depth,depth_se,magnitude_a,magnitude_a_type,magnitude_b,magnitude_b_type,time_table,evaluation,info_assistance,max_seismic,damate_scale,tsunami_scale,area_large,area_small,region,observation_points,flag
J,2018,05,01,00,03,3.36,0.2, 41,50.13,0.45, 142,0.04,0.73,64.33,2.54,0.9,V,0, ,5,1,1, , , ,1, 30,S OFF URAKAWA           ,  8,k
J,2018,05,01,00,06,20.46,0.09, 32,43.77,0.17, 131,59.98,0.37,12.84,0.82,0.6,V,0, ,5,1,1, , , ,7,300,HYUGANADA REGION        , 21,A
J,2018,05,01,00,06,27.12,0.14, 36,18.67,0.31, 140,48.94,0.69,43.05,0.98,0.9,V,0, ,5,1,1, , , ,3,111,E OFF IBARAKI PREF      , 24,A
J,2018,05,01,00,09,12.49,0.03, 34,5.88,0.08, 135,24.02,0.1,5.86,0.6,0,V,0, ,5,1,1, , , ,5,189,NE WAKAYAMA PREF        , 14,a
J,2018,05,01,00,10,42.81,0.05, 36,58.01,0.13, 140,32.09,0.22,5.55,0.92,-0.1,v,0, ,5,1,1, , , ,2, 55,MID FUKUSHIMA PREF      ,  5,k
J,2018,05,01,00,11,45.48,0.07, 31,57,0.21, 130,54.37,0.18,12.84,0.75,-0.6,v,0, ,5,1,1, , , ,7,277,SOUTHERN MIYAZAKI PREF  ,  6,k
J,2018,05,01,00,12,51.32,0.29, 24,15.57,0.56, 123,46.56,0.69,18.62,2.11,-0.1,v,0, ,5,1,1, , , ,7,290,NEAR ISHIGAKIJIMA ISLAND,  5,a
J,2018,05,01,00,13,19,0.1, 33,54.62,0.17, 136,7.2,0.28,15.43,0.69,0.1,V,0, ,5,1,1, , , ,5,200,SOUTHERN MIE PREF       , 20,A
J,2018,05,01,00,13,20.54,0.14, 35,4.82,0.4, 137,19.09,0.43,39.51,0.92,-0.1,v,0, ,5,1,1, , , ,4,161,CENTRAL AICHI PREF      ,  8,a
J,2018,05,01,00,14,21.54,0.05, 28,8.31,0.24, 129,37.23,0.22,25.92,0.65,0.5,v,0, ,5,1,1, , , ,7,296,NEAR AMAMI-OSHIMA ISLAND,  4,k
J,2018,05,01,00,15,34.01,0.05, 32,48.59,0.12, 130,32.2,0.31,10.02,0.85,0,V,0, ,5,1,1, , , ,7,269,NW KUMAMOTO PREF        , 13,a
J,2018,05,01,00,17,23.21,0.03, 39,30.37,0.09, 141,43.29,0.15,12.69,0.47,1.2,V,0, ,5,1,1, , , ,2, 49,SOUTHERN IWATE PREF     , 32,A
J,2018,05,01,00,18,26.51,0.05, 32,43.8,0.15, 132,0.22,0.23,13.87,0.71,0.6,V,0, ,5,1,1, , , ,7,300,HYUGANADA REGION        , 23,A
J,2018,05,01,00,19,30.28,0.2, 32,43.9,0.35, 131,56.97,0.85,10.33,1.63,-0.5,v,0, ,5,1,1, , , ,7,300,HYUGANADA REGION        ,  6,k
J,2018,05,01,00,21,0.63,0.06, 33,50.48,0.56, 134,57.63,0.19,13.28,0.86,0,v,0, ,5,1,1, , , ,5,207,S PART OF KII CHANNEL   ,  8,a
J,2018,05,01,00,21,12.62,0.03, 33,8.01,0.12, 132,20.71,0.12,6.68,1.46,1.2,V,0, ,5,1,1, , , ,6,245,BUNGO CHANNEL           , 32,A
J,2018,05,01,00,24,7.13,0.12, 37,21.53,0.3, 141,33.6,0.52,26.33,1.51,1.2,v,0, ,5,1,1, , , ,2, 69,E OFF FUKUSHIMA PREF    ,  7,k
J,2018,05,01,00,26,59.02,0.17, 33,19.27,0.64, 135,1.31,0.32,22.09,3.28,0.8,V,0, ,5,1,1, , , ,6,248,S OFF KII PENINSULA     , 19,A
J,2018,05,01,00,27,34.42,0.25, 24,14.97,0.42, 123,46.31,0.66,19.07,2.04,0.4,v,0, ,5,1,1, , , ,7,290,NEAR ISHIGAKIJIMA ISLAND,  5,A
J,2018,05,01,00,27,34.44,0.12, 29,49.11,0.51, 130,38.11,0.53,34.21,1.31,2.2,V,0, ,5,1,1, , , ,7,296,NEAR AMAMI-OSHIMA ISLAND, 18,K
J,2018,05,01,00,28,14,0.18, 35,51.78,0.44, 140,27.62,0.6,33.34,1.69,0.6,V,0, ,5,1,1, , , ,3, 92,NORTHERN CHIBA PREF     , 16,A
J,2018,05,01,00,30,29.84,0.23, 31,41.16,0.43, 131,50.05,1.19,28.13,2.05,1,V,0, ,5,1,1, , , ,7,300,HYUGANADA REGION        , 28,A
J,2018,05,01,00,34,36.22,0.03, 32,41.22,0.1, 130,42.76,0.14,12.66,0.54,0.5,V,0, ,5,1,1, , , ,7,269,NW KUMAMOTO PREF        , 28,A
J,2018,05,01,00,38,26.32,0.04, 34,54.03,0.15, 135,26.02,0.16,7.59,0.68,0.2,V,0, ,5,1,1, , , ,5,184,KYOTO OSAKA BORDER REG  , 22,A
J,2018,05,01,00,39,43.2,0.12, 35,52.09,0.25, 136,5.3,0.32,10.03,1.25,0.4,v,0, ,5,1,1, , , ,4,137,CENTRAL FUKUI PREF      , 11,a
J,2018,05,01,00,40,36.2,0.17, 42,35.75,0.47, 143,19.37,0.76,59.56,1.58,2.6,V,0, ,5,1,1, , , ,1,  9,TOKACHI REGION          , 32,K
J,2018,05,01,00,41,56.54,0.03, 35,12.65,0.09, 135,31.24,0.1,10.44,0.46,1,V,0, ,5,1,1, , , ,5,183,MID KYOTO PREF          , 32,A
J,2018,05,01,00,43,40.52,0.06, 36,44.62,0.12, 140,36.36,0.28,5.98,0.69,0.5,V,0, ,5,1,1, , , ,3, 86,NORTHERN IBARAKI PREF   , 20,A
J,2018,05,01,00,45,48.78,0.16, 23,59.48,0.8, 122,25.09,0.3,18.12,2.72,1.9,V,0, ,5,1,1, , , ,7,289,NW OFF ISHIGAKIJIMA IS  , 12,K
J,2018,05,01,00,47,27.89,0.09, 36,50.9,0.3, 139,46.06,0.33,3.44,1.9,0.1,V,0, ,5,1,1, , , ,3, 84,NORTHERN TOCHIGI PREF   , 17,a
J,2018,05,01,00,48,47.24,0.28, 24,14.87,0.43, 123,47.16,0.78,15.52,2.67,0.2,v,0, ,5,1,1, , , ,7,290,NEAR ISHIGAKIJIMA ISLAND,  6,a
J,2018,05,01,00,48,54.5,0.13, 37,49.5,1.76, 142,17.63,2.39,39.22,3.32,1.4,V,0, ,5,1,1, , , ,2, 68,SE OFF MIYAGI PREF      ,  6,k
J,2018,05,01,00,49,30.16,0.19, 36,21.04,0.39, 137,59.12,0.54,13.11,1.75,0,V,0, ,5,1,1, , , ,4,147,CENTRAL NAGANO PREF     , 17,a
J,2018,05,01,00,49,58.58,0.03, 36,48.43,0.1, 140,35.1,0.2,7.47,0.57,1.5,V,0, ,5,1,1, , , ,3, 86,NORTHERN IBARAKI PREF   , 32,A
J,2018,05,01,00,50,11.02,0.06, 32,44.74,0.13, 130,44.2,0.21,9.09,0.96,1,V,0, ,5,1,1, , , ,7,269,NW KUMAMOTO PREF        , 10,k
J,2018,05,01,00,50,27.96,0.05, 34,38.9,0.11, 133,24.99,0.11,19.84,0.52,0.2,V,0, ,5,1,1, , , ,6,229,OKAYAMA PREF            , 17,a
J,2018,05,01,00,51,56.71,0.11, 26,46.69,0.85, 130,5.62,0.77,49,0,2.1,V,0, ,5,2,1, , , ,7,295,NEAR MINAMI-DAITOJIMA IS,  8,k
J,2018,05,01,00,52,45.12,0.21, 24,15.01,0.38, 123,46.8,0.56,17.44,1.81,0.8,V,0, ,5,1,1, , , ,7,290,NEAR ISHIGAKIJIMA ISLAND,  7,A
J,2018,05,01,00,55,3.04,0.08, 33,23.73,0.15, 132,36.97,0.21,37.13,0.59,0.1,V,0, ,5,1,1, , , ,6,235,SW EHIME PREF           , 17,a
J,2018,05,01,00,56,5.53,0.08, 35,22.27,0.3, 133,44.79,0.26,6.23,0.83,-0.7,v,0, ,5,1,1, , , ,6,221,EASTERN TOTTORI PREF    ,  9,a
J,2018,05,01,00,57,51.71,0.82, 43,8.97,1.94, 138,19.91,4.5,45,0,2,V,0, ,5,2,1, , , ,8,321,EASTERN SEA OF JAPAN    ,  6,k
J,2018,05,01,00,58,16.81,0.25, 32,58.75,0.53, 130,26.88,0.73,13.65,1.93,-0.2,v,0, ,5,1,1, , , ,7,264,NORTHERN ARIAKEKAI REG  ,  5,a
J,2018,05,01,00,58,28.49,0.18, 27,59.42,0.3, 129,9.81,0.56,12.09,3.18,0.2,v,0, ,5,1,1, , , ,7,296,NEAR AMAMI-OSHIMA ISLAND,  4,a
J,2018,05,01,01,00,48.73,0.09, 24,14.78,0.16, 123,46.78,0.23,17.2,0.75,0.4,v,0, ,5,1,1, , , ,7,290,NEAR ISHIGAKIJIMA ISLAND,  6,A
J,2018,05,01,01,01,2.9,0.21, 38,41.68,0.47, 142,19.95,1.2,35.55,4.5,1.4,V,0, ,5,1,1, , , ,2, 65,E OFF MIYAGI PREF       , 21,A
J,2018,05,01,01,01,9.08,0.05, 33,33.61,0.2, 134,34.18,0.25,11.19,1.54,0.6,V,0, ,5,1,1, , , ,6,249,SE OFF SHIKOKU          , 24,A
