tag,year,month,day,hour,minute,second,time_se,latitude,latitude_m,latitude_se,longitude,longitude_m,longitude_se,depth,depth_se,magnitude_a,magnitude_a_type,magnitude_b,magnitude_b_type,time_table,evaluation,info_assistance,max_seismic,damate_scale,tsunami_scale,area_large,area_small,region,observation_points,flag
J,2018,08,01,00,03,25.1,0.08, 35,0.3,0.16, 139,3.31,0.36,0,0,-0.4,v,0, ,5,2,1, , , ,4,155,CENTRAL IZU PENINSULA   ,  6,a
J,2018,08,01,00,03,45.39,0.04, 32,37.75,0.13, 130,41.63,0.18,10.95,0.69,0.8,V,0, ,5,1,1, , , ,7,271,SOUTHERN KUMAMOTO PREF  , 32,A
J,2018,08,01,00,04,20.34,0.37, 36,36.58,0.42, 138,21.75,0.46,1.28,4.67,1.6,V,0, ,5,1,1, , , ,4,145,NEAR MATSUSHIRO         , 12,k
J,2018,08,01,00,04,45.8,0.31, 37,23.27,0.9, 141,41.97,1.98,47.63,4.44,0.9,v,0, ,5,1,1, , , ,2, 69,E OFF FUKUSHIMA PREF    , 16,A
J,2018,08,01,00,04,51.27,0.27, 36,35.17,0.57, 138,25.05,1.09,3,0,0.6,V,0, ,5,2,1, , , ,4,144,NORTHERN NAGANO PREF    ,  7,k
J,2018,08,01,00,06,18.64,0.23, 35,43.74,0.59, 141,0.13,1.01,24.89,1.08,0.7,V,0, ,5,1,1, , , ,3,110,NEAR CHOSHI CITY        ,  6,k
J,2018,08,01,00,06,29.34,0.16, 36,1.57,0.41, 141,6.92,0.97,39.68,1.79,1.7,V,0, ,5,1,1, , , ,3,111,E OFF IBARAKI PREF      , 24,K
J,2018,08,01,00,06,38.04,0.15, 33,36.65,0.69, 138,17.61,0.31,50.72,3.36,3.3,V,0, ,5,1,1, , , ,4,171,FAR S OFF TOKAI DISTRICT, 27,K
J,2018,08,01,00,08,7.45,0.81, 33,39.79,3.31, 138,16.78,1.6,48,0,1.8,V,0, ,5,2,1, , , ,4,171,FAR S OFF TOKAI DISTRICT,  8,k
J,2018,08,01,00,08,13.42,0.18, 35,39.6,0.53, 139,45.02,0.75,116.34,1.48,2.6,V,0, ,5,1,1, , , ,3, 91,TOKYO PREF              , 39,K
J,2018,08,01,00,11,5.12,0.15, 40,11.92,0.37, 142,18.92,0.79,32.66,1.57,0.6,v,0, ,5,1,1, , , ,2, 61,NE OFF IWATE PREF       , 15,A
J,2018,08,01,00,14,15.31,0.16, 37,23.53,0.37, 136,40.1,0.55,7.49,1.48,0.6,V,0, ,5,1,1, , , ,4,167,OFF NOTO PENINSULA      , 11,A
J,2018,08,01,00,15,21.32,0.03, 36,36.19,0.09, 139,22.81,0.11,5.09,0.71,0.4,V,0, ,5,1,1, , , ,3, 83,TOCHIGI GUNMA BORDER    ,  7,k
J,2018,08,01,00,15,22.51,0.03, 36,36.13,0.09, 139,22.87,0.12,5.35,0.82,0.3,V,0, ,5,1,1, , , ,3, 83,TOCHIGI GUNMA BORDER    ,  7,k
J,2018,08,01,00,19,15.87,0.07, 35,16.18,0.24, 136,52,0.24,10.79,0.9,0.5,V,0, ,5,1,1, , , ,4,161,CENTRAL AICHI PREF      , 28,A
J,2018,08,01,00,21,27.95,0.16, 35,0.46,0.29, 139,2.56,0.43,0.29,2.34,0.4,V,0, ,5,1,1, , , ,4,155,CENTRAL IZU PENINSULA   ,  9,A
J,2018,08,01,00,22,21.54,0.1, 37,9.48,0.26, 141,11.19,0.4,18.07,0.72,0.9,V,0, ,5,1,1, , , ,2, 69,E OFF FUKUSHIMA PREF    , 28,A
J,2018,08,01,00,22,48.88,0.1, 36,55.73,0.42, 138,34.94,0.38,4.87,1.42,0.2,V,0, ,5,1,1, , , ,4,132,MID NIIGATA PREF        , 13,A
J,2018,08,01,00,22,54.51,0.08, 37,44.07,0.24, 141,35.61,0.46,54.21,1.15,1.9,V,0, ,5,1,1, , , ,2, 69,E OFF FUKUSHIMA PREF    , 30,K
J,2018,08,01,00,24,18.06,0.18, 37,27.31,0.22, 137,15.42,0.32,13.06,1.33,-0.1,v,0, ,5,1,1, , , ,4,135,NOTO PENINSULA REGION   ,  4,a
J,2018,08,01,00,27,4.23,0.26, 35,0.93,0.34, 139,4.06,0.95,12.14,1.82,-0.2,v,0, ,5,1,1, , , ,4,155,CENTRAL IZU PENINSULA   ,  5,a
J,2018,08,01,00,27,25.48,0.13, 37,10.79,0.25, 141,14.54,0.64,20.64,0.93,2,V,0, ,5,1,1, , , ,2, 69,E OFF FUKUSHIMA PREF    , 33,K
J,2018,08,01,00,28,28.62,0.4, 34,30.9,0.38, 136,17.52,0.44,33.43,2.22,-0.1,v,0, ,5,M,5, , , ,5,198,NORTHERN MIE PREF       , 13,a
J,2018,08,01,00,31,47.19,0.23, 35,48.81,0.6, 140,58.68,0.89,22.61,1.79,0.8,v,0, ,5,1,1, , , ,3,110,NEAR CHOSHI CITY        , 13,A
J,2018,08,01,00,32,13.98,0.04, 37,42.34,0.18, 139,57.42,0.14,6.03,1.02,0.6,V,0, ,5,1,1, , , ,2, 54,WESTERN FUKUSHIMA PREF  , 15,A
J,2018,08,01,00,34,3.51,0.06, 35,59.44,0.24, 137,34.65,0.19,5.52,1.39,-0.3,V,0, ,5,1,1, , , ,4,148,WESTERN NAGANO PREF     , 11,A
