tag,year,month,day,hour,minute,second,time_se,latitude,latitude_m,latitude_se,longitude,longitude_m,longitude_se,depth,depth_se,magnitude_a,magnitude_a_type,magnitude_b,magnitude_b_type,time_table,evaluation,info_assistance,max_seismic,damate_scale,tsunami_scale,area_large,area_small,region,observation_points,flag
J,1994,01,01,00,17,45.4,0.6, 42,12,2.5, 144,2.4,2,32,0,2.1,V,0, ,1,2,1, , , ,1, 28,SE OFF TOKACHI          ,   ,K
J,1994,01,01,00,25,57,0, 32,45.5,0.2, 130,42.3,0.4,11.6,0.6,0, ,0, ,1,1,1, , , ,7,269,NW KUMAMOTO PREF        ,   ,K
J,1994,01,01,00,43,30.1,0.1, 32,44.4,1.4, 130,17.1,0.4,1.4,1.4,1.7,V,0, ,1,1,1,1, , ,7,267,NEAR UNZENDAKE          ,   ,K
J,1994,01,01,02,16,41,0.1, 35,50.7,0.2, 137,33.9,0.4,14,0,0, ,0, ,1,7,2, , , ,4,148,WESTERN NAGANO PREF     ,   ,S
J,1994,01,01,02,32,57.3,0.6, 33,26.2,2.5, 138,20.9,2.2,336.3,4.9,3.6,V,0, ,1,1,1, , , ,4,171,FAR S OFF TOKAI DISTRICT,   ,K
J,1994,01,01,03,02,10.6,0.2, 41,59.5,0.9, 142,32.9,1,64.2,2.7,3.9,V,4,d,1,1,1,1, , ,1, 30,S OFF URAKAWA           ,   ,K
J,1994,01,01,03,55,22.8,0.2, 32,43.4,1.1, 130,16.7,0.9,0,0,2.4,V,0, ,1,2,1,1, , ,7,267,NEAR UNZENDAKE          ,   ,K
J,1994,01,01,04,47,3.2,0.1, 36,21,0.4, 137,37.9,0.4,7.2,2.7,3.6,V,0, ,1,1,1, , , ,4,143,HIDA MOUNTAINS REGION   ,   ,K
J,1994,01,01,04,50,40.6,0.1, 36,21.9,0.4, 137,38.7,0.4,9.4,1.9,2.2,V,0, ,1,1,1, , , ,4,143,HIDA MOUNTAINS REGION   ,   ,K
J,1994,01,01,05,22,18.5,0.1, 36,20.5,0.4, 137,39,0.5,5.1,3,4.6,J,4.1,V,1,1,1,1, , ,4,143,HIDA MOUNTAINS REGION   ,   ,K
J,1994,01,01,05,30,22.7,0.1, 36,21.6,0.6, 137,37.7,0.7,7,0,0, ,0, ,1,2,1, , , ,4,143,HIDA MOUNTAINS REGION   ,   ,K
J,1994,01,01,05,31,57.8,0.1, 36,22.7,0.5, 137,37.3,0.6,9,0,0.9,V,0, ,1,2,1, , , ,4,143,HIDA MOUNTAINS REGION   ,   ,K
J,1994,01,01,05,36,3.7,0.1, 36,22.1,0.5, 137,37.6,0.6,12,0,1.5,V,0, ,1,2,1, , , ,4,143,HIDA MOUNTAINS REGION   ,   ,K
J,1994,01,01,05,48,11,0.2, 32,44.3,0.8, 130,17.4,0.6,0,0,2.1,V,0, ,1,2,1,1, , ,7,267,NEAR UNZENDAKE          ,   ,K
J,1994,01,01,06,29,8,0.9, 45,39.5,6.8, 152,3.2,8.3,12,0,4.6,V,0, ,4,2,1, , , ,8,324,KURILE ISLANDS REGION   ,   ,K
J,1994,01,01,06,52,47.9,0.1, 36,21.2,0.6, 137,37.7,0.7,12.1,4.1,1.7,V,0, ,1,1,1, , , ,4,143,HIDA MOUNTAINS REGION   ,   ,K
J,1994,01,01,07,15,13.6,0.1, 36,21.2,0.5, 137,38.4,0.7,5,0,1,V,0, ,1,2,1, , , ,4,143,HIDA MOUNTAINS REGION   ,   ,K
J,1994,01,01,08,35,58.2,0.4, 42,41.5,0.9, 139,21.4,1.6,20.9,3.1,2.5,V,0, ,1,1,1, , , ,1, 18,SW OFF HOKKAIDO         ,   ,K
J,1994,01,01,09,23,55.4,0.1, 36,20.3,0.5, 137,38,0.6,7.8,3.6,2.9,V,0, ,1,1,1, , , ,4,143,HIDA MOUNTAINS REGION   ,   ,K
J,1994,01,01,09,24,21.5,0.2, 36,21.2,0.7, 137,38.2,0.8,10.9,3.2,2.1,V,0, ,1,1,1, , , ,4,143,HIDA MOUNTAINS REGION   ,   ,K
J,1994,01,01,09,25,37.7,0.2, 37,0.8,0.7, 138,11.8,0.8,3.2,2.4,1.7,V,0, ,1,1,1, , , ,4,133,SW NIIGATA PREF         ,   ,K
J,1994,01,01,10,35,32.4,0.2, 36,38.9,1.1, 136,57.9,0.8,1.1,3.4,1.8,V,0, ,1,1,1, , , ,4,134,TOYAMA PREF             ,   ,K
J,1994,01,01,10,53,55,0.2, 32,47.4,1, 130,16.4,1,0,0,2.4,V,0, ,1,2,1,1, , ,7,267,NEAR UNZENDAKE          ,   ,K
J,1994,01,01,10,54,37.8,0.1, 36,22,0.4, 137,38.3,0.5,8.1,2.5,1.8,V,0, ,1,1,1, , , ,4,143,HIDA MOUNTAINS REGION   ,   ,K
J,1994,01,01,11,06,26.8,0.4, 38,58.7,0.8, 142,29,2.1,39.2,4.5,1.7,V,0, ,1,1,1, , , ,2, 65,E OFF MIYAGI PREF       ,   ,K
J,1994,01,01,11,12,54.4,0.1, 34,30.4,0.8, 136,51.3,0.5,21.9,2.3,1.7,V,0, ,1,1,1, , , ,5,199,SHIMA PENINSULA REGION  ,   ,K
J,1994,01,01,11,44,37.5,0.7, 42,28,1.3, 139,6.9,3.2,15,0,2.9,V,0, ,1,2,1, , , ,1, 18,SW OFF HOKKAIDO         ,   ,K
J,1994,01,01,12,38,2.8,0.2, 32,1.8,0.6, 130,37.1,0.9,4.4,3.9,2.2,V,0, ,1,1,1, , , ,7,272,EBINO REGION S KYUSHU   ,   ,K
