tag,year,month,day,hour,minute,second,time_se,latitude,latitude_m,latitude_se,longitude,longitude_m,longitude_se,depth,depth_se,magnitude_a,magnitude_a_type,magnitude_b,magnitude_b_type,time_table,evaluation,info_assistance,max_seismic,damate_scale,tsunami_scale,area_large,area_small,region,observation_points,flag
J,2018,04,01,00,00,59.35,0.04, 40,2.36,0.15, 140,32.71,0.2,6.45,1.59,0.6,V,0, ,5,1,1, , , ,2, 46,NORTHERN AKITA PREF     , 15,A
J,2018,04,01,00,03,29.01,0.06, 31,9.57,0.13, 130,7.69,0.21,5.43,1.91,2.7,V,0, ,5,1,1, , , ,7,275,SATSUMA PENINSULA REGION, 38,K
J,2018,04,01,00,03,47.39,0.07, 35,51.68,0.22, 137,35.63,0.21,6.82,1.09,0,V,0, ,5,1,1, , , ,4,148,WESTERN NAGANO PREF     , 17,A
J,2018,04,01,00,05,8.67,0.12, 39,38.66,0.25, 142,5.51,0.62,45.74,0.78,0.7,V,0, ,5,1,1, , , ,2, 62,E OFF IWATE PREF        , 25,A
J,2018,04,01,00,05,9.1,0.18, 31,9.77,0.14, 130,8.1,0.23,0.87,1.69,1.6,V,0, ,5,1,1, , , ,7,275,SATSUMA PENINSULA REGION, 27,k
J,2018,04,01,00,05,15.87,0.03, 33,2.67,0.1, 131,5.97,0.11,11.06,0.54,0.9,V,0, ,5,1,1, , , ,7,270,NE KUMAMOTO PREF        , 32,A
J,2018,04,01,00,05,55.53,0.04, 31,9.78,0.14, 130,7.85,0.22,4,0,1.7,V,0, ,5,2,1, , , ,7,275,SATSUMA PENINSULA REGION, 31,K
J,2018,04,01,00,15,53.41,0.05, 31,9.8,0.15, 130,7.81,0.25,4,0,1.5,V,0, ,5,2,1, , , ,7,275,SATSUMA PENINSULA REGION, 29,A
J,2018,04,01,00,16,9.78,0.19, 24,4.64,0.85, 122,39.49,0.68,0,0,3.1,V,0, ,5,2,1, , , ,7,289,NW OFF ISHIGAKIJIMA IS  , 12,K
J,2018,04,01,00,16,48.82,0.14, 37,15.59,0.31, 141,11.67,0.7,27.35,0.87,1.1,V,0, ,5,1,1, , , ,2, 69,E OFF FUKUSHIMA PREF    , 27,A
J,2018,04,01,00,19,13.84,0.18, 37,5.12,0.37, 141,21.79,0.85,27.06,1.37,1.3,V,0, ,5,1,1, , , ,2, 69,E OFF FUKUSHIMA PREF    , 24,A
J,2018,04,01,00,20,7.75,0.09, 36,20.86,0.15, 140,54.87,0.46,16.03,1,1.2,V,0, ,5,1,1, , , ,3,111,E OFF IBARAKI PREF      , 30,A
J,2018,04,01,00,22,1.99,0.33, 35,44.42,0.79, 140,52.8,1.23,23.07,1.93,1.2,V,0, ,5,1,1, , , ,3,110,NEAR CHOSHI CITY        , 23,A
J,2018,04,01,00,22,49.07,0.31, 35,26.02,0.8, 140,8.23,1.65,57.31,2.38,0.9,V,0, ,5,1,1, , , ,3, 93,CENTRAL CHIBA PREF      , 25,A
J,2018,04,01,00,25,35.22,0.37, 29,55.37,0.96, 131,24.61,1.16,15.9,4.29,1.7,v,0, ,5,1,1, , , ,7,296,NEAR AMAMI-OSHIMA ISLAND,  5,k
J,2018,04,01,00,26,19.65,0.11, 36,11.1,0.17, 137,47.7,0.42,7.55,0.82,0,V,0, ,5,1,1, , , ,4,147,CENTRAL NAGANO PREF     , 15,A
J,2018,04,01,00,26,20.59,0.08, 35,5.04,0.21, 135,45.29,0.25,11.65,0.82,-0.1,V,0, ,5,1,1, , , ,5,183,MID KYOTO PREF          , 16,A
J,2018,04,01,00,35,53.63,0.23, 38,16.88,0.87, 142,24.6,0.92,24.49,4.56,1.2,V,0, ,5,1,1, , , ,2, 65,E OFF MIYAGI PREF       , 12,A
J,2018,04,01,00,36,20.28,0.17, 24,15.22,0.34, 123,46.77,0.46,17.25,1.51,0.8,v,0, ,5,1,1, , , ,7,290,NEAR ISHIGAKIJIMA ISLAND,  6,A
J,2018,04,01,00,38,38,0.24, 35,30.65,0.56, 136,39.32,0.84,6.58,2.33,-0.5,v,0, ,5,1,1, , , ,4,139,SW GIFU PREF            ,  7,A
J,2018,04,01,00,43,2.02,0.12, 40,19.77,0.32, 142,13.92,0.59,28.68,0.97,0.9,V,0, ,5,1,1, , , ,2, 61,NE OFF IWATE PREF       , 25,A
J,2018,04,01,00,43,39.04,0.11, 39,36.89,0.24, 142,6.9,0.55,45.55,0.71,0.6,V,0, ,5,1,1, , , ,2, 62,E OFF IWATE PREF        , 22,A
J,2018,04,01,00,47,10.16,0.06, 32,29.95,0.18, 130,31.68,0.22,8.54,1.35,0.1,V,0, ,5,1,1, , , ,7,268,AMAKUSA REGION          , 21,A
J,2018,04,01,00,47,56.05,0.08, 33,41.24,0.25, 135,7.09,0.28,34.79,0.49,0.1,V,0, ,5,1,1, , , ,5,207,S PART OF KII CHANNEL   , 14,k
J,2018,04,01,00,49,1.9,0.17, 32,43.81,0.37, 130,35.98,0.61,11.17,2.2,-0.3,v,0, ,5,1,1, , , ,7,269,NW KUMAMOTO PREF        ,  8,A
J,2018,04,01,00,50,18.75,0.1, 31,19.2,0.28, 130,36.96,0.28,8.97,1.97,0.6,V,0, ,5,1,1, , , ,7,275,SATSUMA PENINSULA REGION, 16,A
J,2018,04,01,00,56,2.32,0.05, 35,21.61,0.25, 133,42.87,0.21,5.18,0.85,0.2,V,0, ,5,1,1, , , ,6,221,EASTERN TOTTORI PREF    , 13,k
J,2018,04,01,01,00,7.63,0.17, 41,2.1,0.4, 142,24.98,0.9,35.45,4.64,3.3,V,0, ,5,1,1, , , ,2, 60,E OFF AOMORI PREF       , 31,K
J,2018,04,01,01,06,3.82,0.04, 34,41.04,0.15, 137,9.42,0.14,7.6,0.69,1.3,V,0, ,5,1,1, , , ,4,162,MIKAWA BAY REGION       , 32,A
J,2018,04,01,01,08,26.8,0.41, 29,56.66,1.19, 131,18.24,1.17,16.15,4.69,1.3,V,0, ,5,1,1, , , ,7,296,NEAR AMAMI-OSHIMA ISLAND,  5,k
J,2018,04,01,01,08,27.52,0.12, 36,41.74,0.27, 140,35.12,0.55,6.21,1.1,0.5,V,0, ,5,1,1, , , ,3, 86,NORTHERN IBARAKI PREF   , 10,k
J,2018,04,01,01,10,8.74,0.05, 36,42.32,0.11, 140,36.17,0.24,7.18,0.5,-0.1,v,0, ,5,1,1, , , ,3, 86,NORTHERN IBARAKI PREF   , 16,a
J,2018,04,01,01,10,41.83,0.13, 33,0.61,0.31, 131,8.2,0.35,8.36,2.15,0.3,V,0, ,5,1,1, , , ,7,270,NE KUMAMOTO PREF        , 14,A
