tag,year,month,day,hour,minute,second,time_se,latitude,latitude_m,latitude_se,longitude,longitude_m,longitude_se,depth,depth_se,magnitude_a,magnitude_a_type,magnitude_b,magnitude_b_type,time_table,evaluation,info_assistance,max_seismic,damate_scale,tsunami_scale,area_large,area_small,region,observation_points,flag
J,1990,01,01,00,12,50.9,0.2, 37,19.6,0.7, 139,57.8,0.8,6.4,3.7,1.9,V,0, ,1,1,1, , , ,2, 54,WESTERN FUKUSHIMA PREF  ,   ,K
J,1990,01,01,00,26,39.5,0.1, 34,48.8,0.4, 137,37.2,0.5,28,1.3,1.4,V,0, ,1,1,1, , , ,4,159,HAMANAKO LAKE REGION    ,   ,K
J,1990,01,01,03,11,2.2,0.8, 41,28.4,2.8, 142,49.2,2.2,35,0,2.7,V,0, ,1,2,1, , , ,2, 60,E OFF AOMORI PREF       ,   ,K
J,1990,01,01,04,25,57.3,0.1, 35,14,0.3, 137,38.9,0.4,14.3,1.5,1.3,V,0, ,1,1,1, , , ,4,149,SOUTHERN NAGANO PREF    ,   ,K
J,1990,01,01,04,32,44.4,0.3, 34,21.3,1.8, 140,16.4,0.7,51,0,2.3,V,0, ,1,2,1, , , ,3,106,FAR S OFF BOSO PENINSULA,   ,K
J,1990,01,01,05,23,31.2,0.1, 34,16.8,1.7, 135,9.3,0.5,22,0,1.2,V,0, ,1,7,1, , , ,5,190,NW WAKAYAMA PREF        ,   ,S
J,1990,01,01,05,41,27.4,0.3, 40,14.5,1, 145,7.9,2,32,0,3.8,V,0, ,2,2,1, , , ,8,327,FAR E OFF NORTH HONSHU  ,   ,K
J,1990,01,01,06,29,49.7,0.5, 43,56.1,2.3, 147,43,2.9,25,0,5.2,V,0, ,1,2,1, , , ,1, 26,E OFF HOKKAIDO          ,   ,K
J,1990,01,01,07,03,4.6,0.6, 43,55.2,3.9, 147,38.3,3.9,11,0,4.3,V,0, ,1,2,1, , , ,1, 26,E OFF HOKKAIDO          ,   ,K
J,1990,01,01,07,16,15.9,0.4, 42,20.3,1.5, 144,45.2,1.5,26,0,3.4,V,0, ,1,2,1, , , ,1, 28,SE OFF TOKACHI          ,   ,K
J,1990,01,01,07,20,57.5,0.3, 32,0.4,0.8, 131,4.7,1.5,91.5,3.2,2.9,V,0, ,1,1,1, , , ,7,277,SOUTHERN MIYAZAKI PREF  ,   ,K
J,1990,01,01,10,49,32,0.2, 39,54.3,0.5, 141,25.1,0.9,78.4,2,2.4,V,0, ,1,1,1, , , ,2, 48,NORTHERN IWATE PREF     ,   ,K
J,1990,01,01,11,13,16.9,0.3, 34,56.8,0.6, 139,10.5,0.7,16,2.1,0.8,V,0, ,1,7,1, , , ,3,100,E OFF IZU PENINSULA     ,   ,S
J,1990,01,01,11,19,6.5,0.3, 42,21.8,1.1, 144,45.5,1.1,7.9,3.9,2.6,V,0, ,1,1,1, , , ,1, 28,SE OFF TOKACHI          ,   ,K
J,1990,01,01,11,51,51.3,0.6, 34,9.9,2.6, 140,51.2,2.4,49,0,2.6,V,0, ,1,2,1, , , ,3,106,FAR S OFF BOSO PENINSULA,   ,K
J,1990,01,01,13,04,21.6,0.5, 39,55.6,0.9, 142,22,2.6,38.8,3.7,2.4,V,0, ,1,1,1, , , ,2, 62,E OFF IWATE PREF        ,   ,K
J,1990,01,01,15,39,33.8,0.6, 30,51.8,1.2, 131,19.2,3.6,34,0,2.4,V,0, ,1,2,1, , , ,7,299,SE OFF OSUMI PEN        ,   ,K
J,1990,01,01,16,14,11.6,0.3, 36,43.6,0.7, 141,17.6,1.3,36.1,2.3,2.2,V,0, ,1,1,1, , , ,3,111,E OFF IBARAKI PREF      ,   ,K
U,1990,01,01,16,49,35.8,0,-21,36.7,0,-179,27.5,0,597,0,5.1,B,0, , , , , , , ,9,   ,FIJI ISLANDS REGION     ,   , 
J,1990,01,01,18,00,37.2,0.8, 33,36.7,2, 141,19.9,4.4,63,0,2.5,V,0, ,1,2,1, , , ,8,330,E OFF HACHIJOJIMA ISLAND,   ,K
J,1990,01,01,18,03,13.3,0.2, 36,28.1,0.5, 140,35.2,0.8,55.3,2,4.5,J,4.5,V,1,1,1,3, , ,3, 86,NORTHERN IBARAKI PREF   ,   ,K
J,1990,01,01,18,25,31.3,0.1, 33,57.7,0.6, 135,14,0.5,23,0,0, ,0, ,1,2,1, , , ,5,191,CENTRAL WAKAYAMA PREF   ,   ,K
J,1990,01,01,18,25,58.2,0.1, 34,58.4,0.2, 139,10.5,0.3,5.1,0.9,0, ,0, ,1,1,1, , , ,3,100,E OFF IZU PENINSULA     ,   ,K
J,1990,01,01,20,15,53.8,0.1, 36,39.1,0.5, 139,18.9,0.7,12.6,2.2,1.2,V,0, ,1,1,1, , , ,3, 83,TOCHIGI GUNMA BORDER    ,   ,K
J,1990,01,01,20,32,53,0.1, 34,10.6,0.4, 135,5.1,0.4,10.7,1.6,2.1,V,0, ,1,1,1, , , ,5,190,NW WAKAYAMA PREF        ,   ,K
J,1990,01,01,20,53,5.5,0.2, 35,14.2,0.6, 137,39.9,0.8,13.9,3.9,0, ,0, ,1,7,2, , , ,4,149,SOUTHERN NAGANO PREF    ,   ,S
J,1990,01,01,21,06,42.9,1.3, 24,39.5,3.7, 127,20.5,4.7,43,0,2.8,V,0, ,1,7,1, , , ,7,294,NEAR OKINAWAJIMA ISLAND ,   ,S
J,1990,01,01,21,31,24.8,0.2, 35,2.1,0.6, 138,7.1,0.6,34.4,1.9,1.9,V,0, ,1,1,1, , , ,4,157,CENTRAL SHIZUOKA PREF   ,   ,K
J,1990,01,01,21,56,25,0.1, 34,6.5,0.5, 135,4.9,0.5,11.7,2.7,1.8,V,0, ,1,1,1, , , ,5,190,NW WAKAYAMA PREF        ,   ,K
J,1990,01,01,22,00,57.8,0.2, 35,24.2,1, 136,52.3,1.1,9.3,2.8,0, ,0, ,1,1,1, , , ,4,139,SW GIFU PREF            ,   ,K
J,1990,01,01,22,57,11,0.4, 43,53.5,3.2, 148,12.2,2.5,34,0,4.8,V,0, ,1,2,1, , , ,1, 25,SE OFF ETOROFU          ,   ,K
U,1990,01,01,23,49,0.7,0,-10,23.5,0, 161,18.1,0,35,0,5.1,B,4.8,S, , , , , , ,9,   ,SOLOMON ISLANDS         ,   , 
J,1990,01,02,00,23,25,0.2, 25,46.4,3.4, 126,17,2.8,68,0,3.1,V,0, ,1,2,1, , , ,7,294,NEAR OKINAWAJIMA ISLAND ,   ,K
J,1990,01,02,00,25,12.9,0.2, 34,1.7,0.7, 135,14.6,0.7,4.5,3.5,1.5,V,0, ,1,1,1, , , ,5,190,NW WAKAYAMA PREF        ,   ,K
U,1990,01,02,01,07,27.2,0,- 7,10.1,0, 125,15.1,0,530,0,5.2,B,0, , , , , , , ,9,   ,BANDA SEA               ,   , 
J,1990,01,02,01,37,28.9,0.4, 35,29.3,1.1, 139,45.9,1.6,23.7,3.5,1.1,V,0, ,1,1,1, , , ,3, 96,TOKYO BAY REGION        ,   ,K
J,1990,01,02,01,42,14.4,0.1, 35,9.6,0.9, 137,11.1,0.6,35,1.8,1.1,V,0, ,1,1,1, , , ,4,161,CENTRAL AICHI PREF      ,   ,K
J,1990,01,02,02,12,37.9,0.5, 36,14.8,2, 139,17.3,1.9,76.1,4,0.8,V,0, ,1,1,1, , , ,3, 90,WESTERN SAITAMA PREF    ,   ,K
J,1990,01,02,02,56,42.9,0.3, 27,9,2, 140,40.4,4.5,426,0,4,V,0, ,1,2,1, , , ,8,332,W OFF OGASAWARA         ,   ,K
J,1990,01,02,02,58,2.4,0.3, 34,49.1,1.3, 136,41.6,1,7.1,4.1,1.7,V,0, ,1,1,1, , , ,5,209,ISE BAY REGION          ,   ,K
J,1990,01,02,03,02,34.9,0.1, 35,11,0.4, 136,32,0.6,11.2,2.6,2.1,V,0, ,1,1,1, , , ,5,197,SHIGA GIFU BORDER REGION,   ,K
J,1990,01,02,03,22,37.5,0.1, 34,8.3,0.6, 135,4.1,0.5,13.1,2.3,1.6,V,0, ,1,1,1, , , ,5,190,NW WAKAYAMA PREF        ,   ,K
J,1990,01,02,04,50,14.6,0.3, 33,52.8,4.8, 137,0.7,2.8,361,0,2.8,V,0, ,1,2,1, , , ,5,208,SE OFF KII PENINSULA    ,   ,K
J,1990,01,02,05,24,29.4,0.2, 34,59.1,0.5, 139,7.6,1,4.2,2.4,0.3,V,0, ,1,7,2, , , ,3,100,E OFF IZU PENINSULA     ,   ,S
J,1990,01,02,05,34,31.3,0.1, 34,6.7,0.4, 135,5.6,0.3,15.7,1.3,0, ,0, ,1,1,1, , , ,5,190,NW WAKAYAMA PREF        ,   ,K
J,1990,01,02,05,44,19.1,0.1, 34,53.1,0.7, 132,14,0.5,13,0,2.1,V,0, ,1,2,1, , , ,6,225,SW SHIMANE PREF         ,   ,K
J,1990,01,02,08,48,29.9,0.9, 35,33.1,3, 139,59.4,2.5,31,0,1.6,V,0, ,1,2,1, , , ,3, 93,CENTRAL CHIBA PREF      ,   ,K
J,1990,01,02,08,52,50.7,0.6, 39,48.4,3.1, 143,43.1,2.7,0,0,3,V,0, ,2,2,1, , , ,2, 63,FAR E OFF SANRIKU       ,   ,K
U,1990,01,02,10,25,6.8,0,  8,19.6,0, 127,26.6,0,42,0,5.4,B,4.9,S, , , , , , ,9,   ,PHILIPPINE ISLANDS REG. ,   , 
J,1990,01,02,10,37,4.6,0.3, 35,12.8,1.1, 137,40.8,1.2,13.9,4.9,1.2,V,0, ,1,1,1, , , ,4,149,SOUTHERN NAGANO PREF    ,   ,K
J,1990,01,02,10,38,49.1,0.6, 34,12.8,3.3, 140,12.2,1.5,83,0,2.1,V,0, ,1,2,1, , , ,3,106,FAR S OFF BOSO PENINSULA,   ,K
J,1990,01,02,11,44,24.8,0.2, 31,32.8,0.4, 130,11.2,1.3,15,0,1.7,V,0, ,1,7,1, , , ,7,284,SW OFF KYUSHU           ,   ,S
J,1990,01,02,12,20,43.4,0.1, 34,33.7,0.7, 137,15.3,0.7,33.2,2.3,1.7,V,0, ,1,1,1, , , ,4,169,ENSYUNADA               ,   ,K
J,1990,01,02,12,56,50.8,0.1, 36,1.9,0.3, 139,19.4,0.5,112.1,1.1,1.8,V,0, ,1,1,1, , , ,3, 90,WESTERN SAITAMA PREF    ,   ,K
J,1990,01,02,14,41,37.6,0.1, 35,4,0.3, 137,58.4,0.3,14,0,1.6,V,0, ,1,2,1, , , ,4,157,CENTRAL SHIZUOKA PREF   ,   ,K
J,1990,01,02,15,10,40.9,0.2, 34,54.6,0.4, 139,16.7,0.5,15.3,2.1,0, ,0, ,1,7,1, , , ,3,100,E OFF IZU PENINSULA     ,   ,S
J,1990,01,02,15,16,43.4,0.1, 34,49.5,0.5, 138,31.8,0.4,22.3,2.2,1.5,V,0, ,1,1,1, , , ,4,173,SOUTHERN SURUGA BAY REG ,   ,K
J,1990,01,02,15,31,31.3,0.1, 34,49,0.4, 138,32.6,0.4,13,0,1.1,V,0, ,1,2,1, , , ,4,173,SOUTHERN SURUGA BAY REG ,   ,K
J,1990,01,02,15,34,40.7,0.3, 43,7.8,1, 144,15.4,0.9,82.8,2.8,2.5,V,0, ,1,1,1, , , ,1,  8,KUSHIRO REGION          ,   ,K
J,1990,01,02,15,53,13.7,0.3, 35,35.8,0.5, 141,8.3,1.5,28.1,2.6,2.6,V,0, ,1,1,1, , , ,3,110,NEAR CHOSHI CITY        ,   ,K
J,1990,01,02,17,22,59.8,0.4, 42,26.3,1.4, 143,7.1,1.4,107.5,3.2,2.4,V,0, ,1,1,1, , , ,1, 11,HIDAKA MOUNTAINS REGION ,   ,K
J,1990,01,02,17,52,27.7,0.1, 34,51.9,0.4, 136,55.2,0.4,37.4,1.7,4.1,J,3.9,V,1,1,1,2, , ,4,162,MIKAWA BAY REGION       ,   ,K
J,1990,01,02,18,21,45.7,0.3, 32,22.6,1.7, 137,34.9,1.2,409.3,3.2,4.3,V,0, ,1,1,1, , , ,4,171,FAR S OFF TOKAI DISTRICT,   ,K
J,1990,01,02,18,36,13.2,0.4, 44,9.5,2.8, 142,50.7,4.3,243,0,0, ,0, ,1,2,1, , , ,1,  3,KAMIKAWA-SORACHI REGION ,   ,K
J,1990,01,02,18,38,17.8,0.5, 28,19,2.3, 129,59.4,1.1,11,0,0, ,0, ,1,2,1, , , ,7,296,NEAR AMAMI-OSHIMA ISLAND,   ,K
J,1990,01,02,18,43,45.9,0.2, 42,14.8,1.4, 142,26.7,0.9,47.2,3.4,2.7,V,0, ,1,1,1, , , ,1, 30,S OFF URAKAWA           ,   ,K
J,1990,01,02,18,56,31.3,0.2, 37,4.3,1, 139,29.2,1.4,10,0,0, ,0, ,1,7,2, , , ,2, 54,WESTERN FUKUSHIMA PREF  ,   ,S
