tag,year,month,day,hour,minute,second,time_se,latitude,latitude_m,latitude_se,longitude,longitude_m,longitude_se,depth,depth_se,magnitude_a,magnitude_a_type,magnitude_b,magnitude_b_type,time_table,evaluation,info_assistance,max_seismic,damate_scale,tsunami_scale,area_large,area_small,region,observation_points,flag
J,1997,10,01,00,24,42.49,0.36, 34,4.66,1.11, 141,34.56,2.03,28.54,3.15,2.5,V,0, ,5,1,1, , , ,3,107,FAR SE OFF BOSO PEN     , 15,K
J,1997,10,01,00,36,8.95,0.05, 31,58.46,0.18, 130,15.03,0.25,6.53,1.19,1.2,V,0, ,5,1,1, , , ,7,273,NW KAGOSHIMA PREF       , 13,K
J,1997,10,01,00,46,5.48,0.05, 31,51.54,0.17, 130,18.49,0.3,5.74,1.58,0.4,v,0, ,5,1,1, , , ,7,273,NW KAGOSHIMA PREF       ,  7,K
J,1997,10,01,00,46,40.68,0.48, 35,26.02,1.08, 139,37.68,1.62,67.61,3.87,0.8,V,0, ,5,7,1, , , ,3, 96,TOKYO BAY REGION        , 12,S
J,1997,10,01,00,55,58.88,0.07, 31,59.13,0.25, 130,18.33,0.32,10.88,0.83,0.8,V,0, ,5,1,1, , , ,7,273,NW KAGOSHIMA PREF       ,  9,K
J,1997,10,01,01,23,28.82,0.3, 43,8.2,1.62, 146,56.84,1.79,60.89,4.17,2.6,v,0, ,5,1,1, , , ,1, 26,E OFF HOKKAIDO          , 12,K
J,1997,10,01,01,36,41.76,0.06, 34,25.85,0.2, 135,1.59,0.26,11.96,0.98,1,V,0, ,5,1,1, , , ,5,204,OSAKA BAY REGION        , 19,K
J,1997,10,01,01,42,42.55,0.13, 38,53.31,0.33, 141,33.6,0.82,100.21,1.12,1.2,V,0, ,5,1,1, , , ,2, 50,NORTHERN MIYAGI PREF    , 18,K
J,1997,10,01,01,47,43.97,0.03, 35,42.46,0.15, 138,13.6,0.17,7.63,1.32,2.1,V,0, ,5,1,1, , , ,4,150,AKAISHI MOUNTAINS REG   , 38,K
J,1997,10,01,01,52,33.24,0.03, 31,50.66,0.12, 130,17.74,0.21,7.63,1.04,1.1,V,0, ,5,1,1, , , ,7,273,NW KAGOSHIMA PREF       , 12,K
J,1997,10,01,02,33,7.67,0.04, 32,43.15,0.13, 130,3.12,0.19,11.45,1.11,1.4,V,0, ,5,1,1, , , ,7,267,NEAR UNZENDAKE          , 30,K
J,1997,10,01,02,41,48.94,0.13, 33,28.7,0.53, 134,33.82,0.5,38.42,1.58,1,V,0, ,5,1,1, , , ,6,249,SE OFF SHIKOKU          , 18,K
