tag,year,month,day,hour,minute,second,time_se,latitude,latitude_m,latitude_se,longitude,longitude_m,longitude_se,depth,depth_se,magnitude_a,magnitude_a_type,magnitude_b,magnitude_b_type,time_table,evaluation,info_assistance,max_seismic,damate_scale,tsunami_scale,area_large,area_small,region,observation_points,flag
J,2018,07,01,00,03,4.76,0.04, 35,43.74,0.18, 137,7.52,0.2,5.43,1.31,0.1,V,0, ,5,1,1, , , ,4,140,SE GIFU PREF            , 23,A
J,2018,07,01,00,04,47.6,0.22, 24,11.03,0.61, 123,50.87,0.51,20.33,2.01,0.8,v,0, ,5,1,1, , , ,7,290,NEAR ISHIGAKIJIMA ISLAND,  7,A
J,2018,07,01,00,05,50.21,0.26, 35,43.4,0.56, 140,11.67,0.94,63.95,2.33,0.9,V,0, ,5,1,1, , , ,3, 92,NORTHERN CHIBA PREF     , 28,A
J,2018,07,01,00,05,51.2,0.03, 34,0.38,0.11, 131,15.8,0.13,12.26,0.55,2.2,V,0, ,5,1,1, , , ,6,226,YAMAGUCHI PREF          , 20,K
J,2018,07,01,00,06,32.95,0.11, 39,15.96,0.2, 140,30.64,0.32,9.89,1.27,-0.1,V,0, ,5,1,1, , , ,2, 47,SOUTHERN AKITA PREF     ,  8,A
J,2018,07,01,00,06,51.48,0.06, 37,27.46,0.1, 137,15.88,0.14,14.23,0.47,-0.3,v,0, ,5,1,1, , , ,4,135,NOTO PENINSULA REGION   ,  5,k
J,2018,07,01,00,06,52.22,0.04, 37,27.46,0.06, 137,15.68,0.09,13.91,0.29,0.1,V,0, ,5,1,1, , , ,4,135,NOTO PENINSULA REGION   ,  5,k
J,2018,07,01,00,08,59.05,0.09, 35,52.94,0.18, 137,45.02,0.2,10.65,1.04,0,V,0, ,5,1,1, , , ,4,149,SOUTHERN NAGANO PREF    , 14,A
J,2018,07,01,00,09,46.43,0.15, 35,0.35,0.18, 137,46.45,0.21,18.7,1.03,0.2,V,0, ,5,1,1, , , ,4,158,SW SHIZUOKA PREF        , 16,A
J,2018,07,01,00,15,38.41,0.02, 35,30.77,0.08, 136,45.93,0.1,10.17,0.38,1,V,0, ,5,1,1, , , ,4,139,SW GIFU PREF            , 32,A
J,2018,07,01,00,18,35.52,0.26, 37,27.23,0.36, 137,15.47,0.51,12.42,2.17,0.1,v,0, ,5,1,1, , , ,4,135,NOTO PENINSULA REGION   ,  5,A
J,2018,07,01,00,18,53.25,0.07, 32,20.24,0.15, 130,24.48,0.16,12.76,1.02,0,v,0, ,5,1,1, , , ,7,268,AMAKUSA REGION          , 15,A
J,2018,07,01,00,18,59.47,0.4, 35,10.43,1.1, 139,53.71,0.94,37.5,3.4,0.6,v,0, ,5,1,1, , , ,3, 95,SOUTHERN BOSO PENINSULA , 14,A
J,2018,07,01,00,19,53.54,0.15, 37,27.64,0.35, 137,15.3,0.27,14.06,1.1,0,v,0, ,5,1,1, , , ,4,135,NOTO PENINSULA REGION   ,  4,a
J,2018,07,01,00,23,17.86,0.4, 34,48.5,0.59, 135,47.97,2,9.09,2.89,0.6,v,0, ,5,1,1, , , ,5,184,KYOTO OSAKA BORDER REG  ,  5,a
J,2018,07,01,00,23,47.46,0.99, 24,12.63,4.65, 122,48.16,3.54,40,0,1.3,v,0, ,5,2,1, , , ,7,289,NW OFF ISHIGAKIJIMA IS  ,  8,A
J,2018,07,01,00,28,21.8,0.09, 33,51.86,0.26, 135,12.04,0.4,4.21,1.25,0.2,V,0, ,5,1,1, , , ,5,191,CENTRAL WAKAYAMA PREF   , 20,A
J,2018,07,01,00,28,42.24,0.06, 34,56.24,0.14, 137,39.66,0.18,24.24,0.52,0.1,V,0, ,5,1,1, , , ,4,158,SW SHIZUOKA PREF        , 25,A
J,2018,07,01,00,30,47.67,0.21, 37,27.49,0.28, 137,15.76,0.59,13.57,1.53,0,v,0, ,5,1,1, , , ,4,135,NOTO PENINSULA REGION   ,  4,a
J,2018,07,01,00,33,6.91,0.05, 36,43.99,0.08, 140,35.22,0.2,6.93,0.45,-0.5,v,0, ,5,1,1, , , ,3, 86,NORTHERN IBARAKI PREF   ,  7,a
J,2018,07,01,00,35,47.3,0.07, 35,26.64,0.15, 139,0.68,0.22,21.87,0.53,0.5,V,0, ,5,1,1, , , ,4,152,EASTERN YAMANASHI PREF  , 23,A
J,2018,07,01,00,38,17.03,0.13, 32,20.36,0.12, 130,29.72,0.13,0.71,1.22,0.7,V,0, ,5,1,1, , , ,7,271,SOUTHERN KUMAMOTO PREF  , 31,A
J,2018,07,01,00,39,8.8,0.09, 32,29.11,0.33, 129,52.3,0.4,14.72,0.94,0.3,V,0, ,5,1,1, , , ,7,283,W OFF AMAKUSA ISLAND    , 15,A
