tag,year,month,day,hour,minute,second,time_se,latitude,latitude_m,latitude_se,longitude,longitude_m,longitude_se,depth,depth_se,magnitude_a,magnitude_a_type,magnitude_b,magnitude_b_type,time_table,evaluation,info_assistance,max_seismic,damate_scale,tsunami_scale,area_large,area_small,region,observation_points,flag
U,1987,01,01,03,24,22.2,0, 49,10.6,0, 156,27.8,0,44,0,5.1,B,5.1,S, , , , , , ,9,   ,KURIL ISLANDS           ,   , 
J,1987,01,01,03,33,52.4,0.1, 36,32.3,0.4, 137,56.2,0.4,6,0,0, ,0, ,1,2,1, , , ,4,144,NORTHERN NAGANO PREF    ,   ,K
J,1987,01,01,04,21,6.9,0.1, 36,32.7,0.6, 137,56.2,0.5,0,0,0, ,0, ,1,2,1, , , ,4,144,NORTHERN NAGANO PREF    ,   ,K
J,1987,01,01,04,26,53.7,0.5, 36,39,2.1, 137,57.3,1.4,8.4,4.5,0, ,0, ,1,1,1, , , ,4,144,NORTHERN NAGANO PREF    ,   ,K
J,1987,01,01,05,19,39.1,0.1, 34,51.6,0.4, 137,55.2,0.7,18.9,3.1,1.8,V,0, ,1,1,1, , , ,4,158,SW SHIZUOKA PREF        ,   ,K
J,1987,01,01,06,14,42.9,0.2, 34,12.1,1, 135,7.7,0.6,13,0,1.4,V,0, ,1,2,1, , , ,5,190,NW WAKAYAMA PREF        ,   ,K
J,1987,01,01,07,00,26.2,0.2, 34,56.2,1, 137,55.5,1,20,0,0, ,0, ,1,7,1, , , ,4,158,SW SHIZUOKA PREF        ,   ,S
J,1987,01,01,08,23,52.8,1.1, 44,18.4,4.7, 147,58.1,7.1,1,0,4.4,V,0, ,1,7,1, , , ,1, 25,SE OFF ETOROFU          ,   ,S
J,1987,01,01,09,11,3.6,0.2, 33,52.4,0.7, 134,53.4,0.5,46.3,3.2,1.7,V,0, ,1,1,1, , , ,5,207,S PART OF KII CHANNEL   ,   ,K
J,1987,01,01,10,26,5,0.3, 35,34.8,1, 140,11.1,1.3,60.6,3.4,2.1,V,0, ,1,1,1, , , ,3, 93,CENTRAL CHIBA PREF      ,   ,K
J,1987,01,01,10,36,14.4,0.2, 34,57.4,1, 138,13.5,1.1,14.5,3.3,1.9,V,0, ,1,1,1, , , ,4,157,CENTRAL SHIZUOKA PREF   ,   ,K
J,1987,01,01,11,58,12,0.1, 27,19.5,0.4, 129,47.2,0.5,22,0,0, ,0, ,1,7,1, , , ,7,296,NEAR AMAMI-OSHIMA ISLAND,   ,S
J,1987,01,01,12,29,22.8,0.1, 36,31.7,1.4, 137,54.8,0.8,10,0,0, ,0, ,1,2,1, , , ,4,144,NORTHERN NAGANO PREF    ,   ,K
J,1987,01,01,13,55,38.7,0.8, 44,0.3,4.1, 148,0.9,4.4,12,0,5.2,V,0, ,1,2,1, , , ,1, 25,SE OFF ETOROFU          ,   ,K
J,1987,01,01,14,36,10.4,0.5, 31,7.7,1.2, 130,40.8,3.5,123.6,3.4,2.4,V,0, ,1,1,1, , , ,7,275,SATSUMA PENINSULA REGION,   ,K
J,1987,01,01,16,00,56.6,0.2, 37,35.8,0.6, 141,30.7,0.9,56.7,5,0, ,0, ,1,1,1, , , ,2, 69,E OFF FUKUSHIMA PREF    ,   ,K
J,1987,01,01,16,57,30,0.5, 36,39.1,2.4, 137,55.8,1,11.5,3.5,0, ,0, ,1,1,1, , , ,4,144,NORTHERN NAGANO PREF    ,   ,K
J,1987,01,01,19,32,45,0.5, 36,39.2,2, 137,54.1,1.1,10,0,0, ,0, ,1,2,1, , , ,4,144,NORTHERN NAGANO PREF    ,   ,K
J,1987,01,01,20,22,12.7,0.6, 36,38.9,2.6, 137,57.1,0.9,7,0,2,V,0, ,1,2,1, , , ,4,144,NORTHERN NAGANO PREF    ,   ,K
J,1987,01,01,20,46,18.7,0.3, 35,27,1.3, 138,1,1.2,232.2,2.9,3.7,V,0, ,1,1,1, , , ,4,150,AKAISHI MOUNTAINS REG   ,   ,K
J,1987,01,01,21,00,11.4,0.1, 38,42.7,0.2, 141,6.8,0.3,5.8,1.5,0, ,0, ,1,1,1, , , ,2, 50,NORTHERN MIYAGI PREF    ,   ,K
J,1987,01,01,22,13,43.6,0.5, 36,42.2,1.8, 137,37.8,2.1,232.1,4.5,3.3,V,0, ,1,1,1, , , ,4,134,TOYAMA PREF             ,   ,K
J,1987,01,01,22,14,29.3,0.1, 33,53.2,0.6, 135,0.9,0.4,24,0,1.8,V,0, ,1,2,1, , , ,5,207,S PART OF KII CHANNEL   ,   ,K
J,1987,01,02,00,15,40.3,0.2, 34,51.7,0.7, 137,3.1,0.8,16.4,3.5,2.6,V,0, ,1,1,1, , , ,4,162,MIKAWA BAY REGION       ,   ,K
U,1987,01,02,01,25,33.2,0,- 2,43.6,0, 138,20.9,0,66,0,5.8,B,0, , , , , , , ,9,   ,WEST IRIAN              ,   , 
J,1987,01,02,01,47,57.5,0.1, 34,14.8,0.4, 131,36.5,0.4,12.6,1.9,1.9,V,0, ,1,1,1, , , ,6,226,YAMAGUCHI PREF          ,   ,K
J,1987,01,02,01,49,10,0.1, 34,15.2,0.5, 131,34.9,0.4,12.7,3.8,0, ,0, ,1,1,1, , , ,6,226,YAMAGUCHI PREF          ,   ,K
J,1987,01,02,03,06,1.9,0.1, 32,32.3,0.6, 131,14.1,0.5,14,0,1.7,V,0, ,1,2,1, , , ,7,278,NORTHERN MIYAZAKI PREF  ,   ,K
J,1987,01,02,05,35,49,0.1, 34,14.6,0.4, 135,12.8,0.3,8.4,1.1,1.8,V,0, ,1,1,1,1, , ,5,190,NW WAKAYAMA PREF        ,   ,K
