tag,year,month,day,hour,minute,second,time_se,latitude,latitude_m,latitude_se,longitude,longitude_m,longitude_se,depth,depth_se,magnitude_a,magnitude_a_type,magnitude_b,magnitude_b_type,time_table,evaluation,info_assistance,max_seismic,damate_scale,tsunami_scale,area_large,area_small,region,observation_points,flag
J,1993,01,01,00,41,51.1,0.1, 39,0.6,0.4, 142,30.2,0.8,41.1,2.6,1.2,V,0, ,1,1,1, , , ,2, 62,E OFF IWATE PREF        ,   ,K
J,1993,01,01,00,52,27.7,0.2, 39,1.2,0.4, 142,28.4,0.6,2.2,0.9,1.8,V,0, ,1,1,1, , , ,2, 62,E OFF IWATE PREF        ,   ,K
J,1993,01,01,01,14,57.9,0.3, 35,41.9,1.2, 136,22.9,1.1,10,0,2.3,V,0, ,1,2,1, , , ,5,197,SHIGA GIFU BORDER REGION,   ,K
J,1993,01,01,01,17,38.3,0.2, 31,8.3,0.6, 130,17.4,1.8,131,2.1,1.9,V,0, ,1,1,1, , , ,7,275,SATSUMA PENINSULA REGION,   ,K
J,1993,01,01,01,26,50.4,0.2, 35,59,0.5, 137,33.8,1,13.5,4,1.5,V,0, ,1,1,1, , , ,4,148,WESTERN NAGANO PREF     ,   ,K
J,1993,01,01,01,43,27.5,0.3, 32,5.9,0.7, 131,14.6,1,63.3,4.6,1.6,V,0, ,1,1,1, , , ,7,277,SOUTHERN MIYAZAKI PREF  ,   ,K
J,1993,01,01,02,02,53.6,0.5, 34,19.6,1.2, 135,29.6,2.4,33,0,1.9,V,0, ,1,2,1, , , ,5,189,NE WAKAYAMA PREF        ,   ,K
J,1993,01,01,02,13,35.5,0.4, 38,59.1,0.8, 142,29.2,1.8,41,0,0, ,0, ,1,2,1, , , ,2, 65,E OFF MIYAGI PREF       ,   ,K
J,1993,01,01,02,42,46.3,0.5, 38,54.3,1, 142,33.6,2.1,22,3.9,2.6,V,0, ,1,1,1, , , ,2, 65,E OFF MIYAGI PREF       ,   ,K
J,1993,01,01,03,33,1.3,0.7, 38,53.9,1.4, 142,24.8,3.8,45,0,2,V,0, ,1,2,1, , , ,2, 65,E OFF MIYAGI PREF       ,   ,K
J,1993,01,01,03,46,57.2,0.5, 38,55,0.9, 142,32.3,2.1,29,0,1.9,V,0, ,1,2,1, , , ,2, 65,E OFF MIYAGI PREF       ,   ,K
J,1993,01,01,03,49,58.4,0.5, 44,57.1,7.8, 149,26.2,6.1,31,0,4.1,V,0, ,1,7,1, , , ,1, 25,SE OFF ETOROFU          ,   ,S
J,1993,01,01,04,00,34.6,0.7, 38,57.4,1.4, 142,30.1,2.7,35,0,1.4,V,0, ,1,2,1, , , ,2, 65,E OFF MIYAGI PREF       ,   ,K
J,1993,01,01,04,02,5.1,0.3, 39,5,0.6, 142,25.2,1,0,0,1.4,V,0, ,1,2,1, , , ,2, 62,E OFF IWATE PREF        ,   ,K
